,web_browser,time_zone,from_url,to_url,time_in,time_out,city,longitude,latitude,operating_sys
0,Mozilla,America/New_York,www.facebook.com,www.ncbi.nlm.nih.gov,1331923247.0,1331822918.0,Danvers,42.576698,-70.954903,Windows NT 6.1; WOW64
2,Mozilla,America/New_York,t.co,boxer.senate.gov,1331923250.0,1331919941.0,Washington,38.9007,-77.043098,Windows NT 6.1; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3
4,Mozilla,America/New_York,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,1331923251.0,1273672411.0,Shrewsbury,42.286499,-71.714699,Windows NT 6.1; WOW64
5,Mozilla,America/New_York,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,1331923252.0,1273672506.0,Shrewsbury,42.286499,-71.714699,Windows NT 6.1; WOW64
6,Mozilla,Europe/Warsaw,plus.url.google.com,www.nasa.gov,1331923255.0,1331922854.0,Luban,51.116699,15.2833,Windows NT 5.1
11,Mozilla,America/New_York,t.co,oversight.house.gov,1331923259.0,1331815838.0,Washington,38.937599,-77.092796,Macintosh; U; Intel Mac OS X 10.4; en-US; rv:1.9.2.27
15,Mozilla,Asia/Hong_Kong,forum2.hkgolden.com,www.ssd.noaa.gov,1331923263.0,1317318030.0,Central District,22.2833,114.150002,Windows NT 6.1
16,Mozilla,Asia/Hong_Kong,forum2.hkgolden.com,www.usno.navy.mil,1331923263.0,1317318039.0,Central District,22.2833,114.150002,Windows NT 6.1
17,Mozilla,America/New_York,t.co,www.usda.gov,1331923264.0,1331839576.0,Buckfield,44.299702,-70.369797,Macintosh; Intel Mac OS X 10.5; rv:10.0.2
19,Mozilla,Europe/Rome,www.facebook.com,www.nasa.gov,1331923264.0,1331922854.0,Venice,45.438599,12.3267,Windows NT 6.1; WOW64
20,Mozilla,Africa/Ceuta,www.facebook.com,voyager.jpl.nasa.gov,1331923265.0,1331670549.0,Alcal,37.516701,-5.9833,Windows NT 6.1; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0
21,Mozilla,America/New_York,www.facebook.com,www.nasa.gov,1331923267.0,1331922854.0,Davidsonville,38.939201,-76.635002,Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.19
23,Mozilla,America/New_York,www.facebook.com,www.tricare.mil,1331923267.0,1330217829.0,Lititz,40.174999,-76.3078,Macintosh; Intel Mac OS X 10_7_3
24,Mozilla,Europe/Madrid,www.facebook.com,www.nasa.gov,1331923268.0,1331922854.0,Bilbao,43.25,-2.9667,Windows; U; Windows NT 5.1; es-ES; rv:1.9.1.1
25,Mozilla,Asia/Kuala_Lumpur,www.facebook.com,www.nasa.gov,1331923269.0,1331922854.0,Kuala Lumpur,3.1667,101.699997,Windows NT 6.1
26,Mozilla,Asia/Nicosia,www.facebook.com,www.nasa.gov,1331923268.0,1331922854.0,Nicosia,35.166698,33.366699,Windows NT 6.1
